sub	run	block	trail	oneset	duration	stim_file	stim_lable	level of occlusion	stim_started	stim_stopped	key_time	key_fix
5	2	1	1	40.2	4	Aircraft1_10%_17.jpg	0	0.1	40.2	43.953	41.197	0
5	2	1	2	44.202	4	Aircraft2_10%_42.jpg	1	0.1	44.202	47.952	45.126	1
5	2	1	3	48.221	4	Aircraft2_10%_44.jpg	1	0.1	48.221	51.969	49.146	1
5	2	1	4	52.229	4	Aircraft1_10%_10.jpg	0	0.1	52.229	55.98	53.042	0
5	2	1	5	56.241	4	Aircraft2_10%_25.jpg	1	0.1	56.241	59.993	57.356	1
5	2	1	6	60.242	4	rest.jpg	n/a	n/a	60.242	63.99	64.242	n/a
5	2	1	7	64.239	4	rest.jpg	n/a	n/a	64.239	67.986	68.239	n/a
5	2	1	8	68.222	4	rest.jpg	n/a	n/a	68.222	71.971	72.222	n/a
5	2	2	9	72.219	4	Aircraft1_90%_12.jpg	0	0.9	72.219	75.969	73.705	0
5	2	2	10	76.225	4	Aircraft2_90%_32.jpg	1	0.9	76.225	79.974	77.892	1
5	2	2	11	80.237	4	Aircraft2_90%_48.jpg	1	0.9	80.237	83.987	80.933	1
5	2	2	12	84.235	4	Aircraft1_90%_19.jpg	0	0.9	84.235	87.985	85.502	0
5	2	2	13	88.25	4	Aircraft1_90%_33.jpg	0	0.9	88.25	91.999	89.551	0
5	2	2	14	92.249	4	rest.jpg	n/a	n/a	92.249	96.001	96.249	n/a
5	2	2	15	96.249	4	rest.jpg	n/a	n/a	96.249	100.004	100.249	n/a
5	2	2	16	100.244	4	rest.jpg	n/a	n/a	100.244	103.998	104.244	n/a
5	2	3	17	104.266	4	Aircraft2_70%_33.jpg	1	0.75	104.266	108.02	105.504	1
5	2	3	18	108.282	4	Aircraft2_70%_38.jpg	1	0.75	108.282	112.03	109.547	1
5	2	3	19	112.275	4	Aircraft1_70%_30.jpg	0	0.75	112.275	116.027	112.957	0
5	2	3	20	116.274	4	Aircraft1_70%_41.jpg	0	0.75	116.274	120.026	117.61	0
5	2	3	21	120.272	4	Aircraft1_70%_18.jpg	0	0.75	120.272	124.024	121.168	0
5	2	3	22	124.27	4	rest.jpg	n/a	n/a	124.27	128.022	128.27	n/a
5	2	3	23	128.257	4	rest.jpg	n/a	n/a	128.257	132.011	132.257	n/a
5	2	3	24	132.247	4	rest.jpg	n/a	n/a	132.247	135.994	136.247	n/a
5	2	4	25	136.252	4	Aircraft2_10%_24.jpg	1	0.1	136.252	140	137.668	1
5	2	4	26	140.267	4	Aircraft2_10%_2.jpg	1	0.1	140.267	144.017	141.275	1
5	2	4	27	144.261	4	Aircraft2_10%_43.jpg	1	0.1	144.261	148.013	145.199	1
5	2	4	28	148.259	4	Aircraft2_10%_46.jpg	1	0.1	148.259	152.016	149.434	1
5	2	4	29	152.272	4	Aircraft1_10%_42.jpg	0	0.1	152.272	156.02	153.501	0
5	2	4	30	156.284	4	rest.jpg	n/a	n/a	156.284	160.033	160.284	n/a
5	2	4	31	160.269	4	rest.jpg	n/a	n/a	160.269	164.017	164.269	n/a
5	2	4	32	164.25	4	rest.jpg	n/a	n/a	164.25	168.002	168.25	n/a
5	2	5	33	168.26	4	Aircraft2_90%_9.jpg	1	0.9	168.26	172.016	169.957	1
5	2	5	34	172.276	4	Aircraft2_90%_6.jpg	1	0.9	172.276	176.029	173.99	1
5	2	5	35	176.292	4	Aircraft1_90%_23.jpg	0	0.9	176.292	180.042	178.132	0
5	2	5	36	180.286	4	Aircraft1_90%_21.jpg	0	0.9	180.286	184.033	181.232	0
5	2	5	37	184.296	4	Aircraft2_90%_36.jpg	1	0.9	184.296	188.043	185.561	1
5	2	5	38	188.3	4	rest.jpg	n/a	n/a	188.3	192.047	192.3	n/a
5	2	5	39	192.295	4	rest.jpg	n/a	n/a	192.295	196.048	196.295	n/a
5	2	5	40	196.28	4	rest.jpg	n/a	n/a	196.28	200.034	200.28	n/a
5	2	6	41	200.279	4	Aircraft2_70%_31.jpg	1	0.75	200.279	204.028	201.508	1
5	2	6	42	204.274	4	Aircraft1_70%_4.jpg	0	0.75	204.274	208.023	206.416	0
5	2	6	43	208.269	4	Aircraft2_70%_20.jpg	1	0.75	208.269	212.02	209.895	1
5	2	6	44	212.266	4	Aircraft1_70%_7.jpg	0	0.75	212.266	216.017	213.214	0
5	2	6	45	216.261	4	Aircraft1_70%_8.jpg	0	0.75	216.261	220.015	217.053	0
5	2	6	46	220.272	4	rest.jpg	n/a	n/a	220.272	224.025	224.272	n/a
5	2	6	47	224.26	4	rest.jpg	n/a	n/a	224.26	228.014	228.26	n/a
5	2	6	48	228.265	4	rest.jpg	n/a	n/a	228.265	232.018	232.265	n/a
5	2	7	49	232.263	4	Aircraft2_10%_31.jpg	1	0.1	232.263	236.014	233.704	1
5	2	7	50	236.269	4	Aircraft1_10%_4.jpg	0	0.1	236.269	240.016	237.723	0
5	2	7	51	240.281	4	Aircraft2_10%_20.jpg	1	0.1	240.281	244.03	241.292	1
5	2	7	52	244.294	4	Aircraft1_10%_7.jpg	0	0.1	244.294	248.048	245.765	0
